locid,x,y,posFrc,negFrc,prevPt,nextPt,GroupId,posLen,negLen,lpCountryCode,lpExtendedCountryCode,lpLocationTableNumber,cityName,lpLocationTableVersion
2009,118.77756,32.06912,4,4,0,2010,2008,0,193,12,240,9,nanjing,V14.0
2010,118.77724,32.07077,4,4,2009,2011,2008,185,772,12,240,9,nanjing,V14.0
2011,118.77653,32.07744,4,4,2010,0,2008,783,0,12,240,9,nanjing,V14.0
807,118.76387,32.05497,3,3,0,808,806,0,599,12,240,9,nanjing,V14.0
808,118.76445,32.06038,3,3,807,1517,806,603,634,12,240,9,nanjing,V14.0
1517,118.76523,32.0661,3,3,808,0,806,644,0,12,240,9,nanjing,V14.0
2006,118.77575,31.99945,4,4,0,2007,2005,0,732,12,240,9,nanjing,V14.0
2007,118.77409,32.00612,4,4,2006,0,2005,799,0,12,240,9,nanjing,V14.0
804,118.76447,32.04798,3,3,0,805,803,0,810,12,240,9,nanjing,V14.0
805,118.76387,32.05497,3,3,804,0,803,809,0,12,240,9,nanjing,V14.0
1414,118.80736,31.94401,4,4,0,1056,1413,0,585,12,240,9,nanjing,V14.0
1056,118.80751,31.9492,4,4,1414,1057,1413,570,400,12,240,9,nanjing,V14.0
1057,118.80758,31.95272,4,4,1056,0,1413,403,0,12,240,9,nanjing,V14.0
941,118.76552,31.89588,2,2,0,942,940,0,949,12,240,9,nanjing,V14.0
942,118.7749,31.89808,2,2,941,943,940,955,1715,12,240,9,nanjing,V14.0
943,118.7909,31.90404,2,2,942,944,940,1694,845,12,240,9,nanjing,V14.0
944,118.79958,31.90278,2,2,943,945,940,833,947,12,240,9,nanjing,V14.0
945,118.80962,31.90242,2,2,944,946,940,970,789,12,240,9,nanjing,V14.0
946,118.81712,31.90528,2,2,945,947,940,783,1286,12,240,9,nanjing,V14.0
947,118.82976,31.9093,2,2,946,948,940,1284,1704,12,240,9,nanjing,V14.0
948,118.84745,31.91156,2,2,947,949,940,1707,809,12,240,9,nanjing,V14.0
949,118.85547,31.91418,2,2,948,950,940,813,1616,12,240,9,nanjing,V14.0
950,118.86808,31.92364,2,2,949,0,940,1708,0,12,240,9,nanjing,V14.0
1420,118.81925,32.10367,3,3,0,1421,1419,0,650,12,240,9,nanjing,V14.0
1421,118.8264,32.10361,3,3,1420,0,1419,674,0,12,240,9,nanjing,V14.0
1417,118.8142,32.10281,3,3,0,1418,1416,0,479,12,240,9,nanjing,V14.0
1418,118.81925,32.10367,3,3,1417,0,1416,463,0,12,240,9,nanjing,V14.0
848,118.79839,32.01448,3,3,0,842,531,0,1356,12,240,9,nanjing,V14.0
842,118.8015,32.02626,3,3,848,841,531,1288,701,12,240,9,nanjing,V14.0
841,118.80261,32.03254,3,3,842,840,531,698,900,12,240,9,nanjing,V14.0
840,118.80452,32.04033,3,3,841,839,531,913,596,12,240,9,nanjing,V14.0
839,118.80587,32.04583,3,3,840,751,531,577,1322,12,240,9,nanjing,V14.0
751,118.80831,32.05738,3,3,839,0,531,1351,0,12,240,9,nanjing,V14.0
749,118.78636,32.02909,3,3,0,750,748,0,773,12,240,9,nanjing,V14.0
750,118.78732,32.03595,3,3,749,752,748,771,614,12,240,9,nanjing,V14.0
752,118.78814,32.04148,3,3,750,0,748,622,0,12,240,9,nanjing,V14.0
602,118.74504,32.01959,3,3,0,603,601,0,339,12,240,9,nanjing,V14.0
603,118.7468,32.02203,3,3,602,604,601,294,609,12,240,9,nanjing,V14.0
604,118.74905,32.02717,3,3,603,605,601,616,815,12,240,9,nanjing,V14.0
605,118.75213,32.03403,3,3,604,0,601,817,0,12,240,9,nanjing,V14.0
1823,118.91541,32.11079,3,3,0,1824,1822,0,1187,12,240,9,nanjing,V14.0
1824,118.90581,32.11668,3,3,1823,0,1822,1252,0,12,240,9,nanjing,V14.0
1725,118.7685,32.04166,4,4,0,1726,1724,0,278,12,240,9,nanjing,V14.0
1726,118.7715,32.04144,4,4,1725,1727,1724,261,423,12,240,9,nanjing,V14.0
1727,118.77593,32.04119,4,4,1726,1728,1724,435,449,12,240,9,nanjing,V14.0
1728,118.78033,32.03974,4,4,1727,1729,1724,443,241,12,240,9,nanjing,V14.0
1729,118.78252,32.03873,4,4,1728,1730,1724,241,169,12,240,9,nanjing,V14.0
1730,118.78419,32.03803,4,4,1729,0,1724,172,0,12,240,9,nanjing,V14.0
1826,118.75241,32.08597,4,4,0,1827,1825,0,397,12,240,9,nanjing,V14.0
1827,118.75061,32.08912,4,4,1826,1546,1825,382,305,12,240,9,nanjing,V14.0
1546,118.74922,32.09162,4,4,1827,0,1825,313,0,12,240,9,nanjing,V14.0
540,118.80831,32.05738,2,2,0,541,539,0,572,12,240,9,nanjing,V14.0
541,118.81332,32.05846,2,2,540,497,539,521,820,12,240,9,nanjing,V14.0
