LocationDirection,LocationCode,Mesh_ID,Link_ID,draw_LineDir,Link_kind,Rtic_kind,Link_direction,Link_length,LTN
+,5,595672,366537,0,1,2,3,0.102,32
+,5,595672,401663,0,1,2,3,0.013,32
+,5,595672,401662,0,1,2,3,0.026,32
+,5,595672,407113,0,1,2,3,0.083,32
+,5,595672,407112,0,1,2,3,0.04,32
+,5,595672,12645716,0,1,2,3,0.224,32
+,5,595672,12645715,0,1,2,3,0.066,32
+,6,595672,358308,0,1,2,3,0.123,32
+,6,595672,412417,0,1,2,3,0.266,32
+,6,595672,357602,1,1,2,2,0.083,32
+,6,595672,403154,1,1,2,2,0.054,32
+,6,595672,408593,1,1,2,2,0.022,32
+,6,595672,408594,1,1,2,2,0.073,32
+,6,595672,366569,1,1,2,2,0.097,32
+,6,595672,401680,1,1,2,2,0.099,32
+,6,595672,401681,1,1,2,2,0.094,32
+,6,595672,357673,1,1,2,2,0.145,32
+,6,595672,357672,1,1,2,2,0.038,32
+,6,595672,87767405,1,1,2,2,0.268,32
+,6,595672,87767406,1,1,2,2,0.032,32
+,6,595672,427137,1,1,2,2,0.127,32
+,6,595672,12566861,1,1,2,2,0.141,32
+,6,595672,12566862,1,1,2,2,0.262,32
+,6,595673,675969,1,1,2,2,0.071,32
+,7,595662,500864,0,6,4,1,0.104,32
+,7,595662,500861,0,6,4,1,0.026,32
+,7,595662,442921,0,6,4,1,0.044,32
+,7,595662,500868,0,6,4,1,0.073,32
+,7,595662,500865,0,6,4,1,0.032,32
+,7,595662,492178,0,6,4,1,0.009,32
+,7,595662,505110,0,6,4,1,0.083,32
+,7,595662,505108,0,6,4,1,0.009,32
+,7,595662,505113,0,6,4,1,0.08,32
+,7,595662,49965822,0,6,4,1,0.137,32
+,7,595662,49965821,0,6,,1,0.012,32
+,8,595673,680244,1,1,2,2,0.188,32
+,8,595673,680044,1,1,2,2,0.123,32
+,8,595673,680047,1,1,2,2,0.061,32
+,8,595673,667736,1,1,2,2,0.135,32
+,8,595673,667738,1,1,2,2,0.037,32
+,8,595673,667734,1,1,2,2,0.04,32
+,8,595673,677943,1,1,2,2,0.112,32
+,8,595673,664083,1,1,2,2,0.043,32
+,8,595673,664084,1,1,2,2,0.182,32
+,8,595673,680267,1,1,2,2,0.007,32
+,8,595673,49143238,1,1,2,2,0.053,32
+,8,595673,85158957,1,1,2,2,0.086,32
+,8,595673,85158958,1,1,2,2,0.262,32
+,8,595673,680095,1,1,2,2,0.176,32
+,8,595673,579147,1,1,2,2,0.253,32
+,8,595673,580901,1,1,2,2,0.073,32
+,8,595673,13208388,1,1,2,2,0.049,32
+,8,595673,13208389,1,1,2,2,0.022,32
+,8,595673,12676378,1,1,2,2,0.459,32
+,8,595673,13208364,1,1,2,2,0.086,32
+,8,595673,13208365,1,1,2,2,0.004,32
+,9,595673,577713,1,1,2,2,0.076,32
+,9,595673,664776,1,1,2,2,0.137,32
+,9,595673,678593,1,1,2,2,0.34,32
+,9,595673,13208414,1,1,2,2,0.073,32
+,9,595673,13208415,1,1,2,2,0.08,32
+,10,595673,667745,0,1,2,3,0.29,32
+,10,595673,667744,0,1,2,3,0.03,32
+,10,595673,669190,0,1,2,3,0.043,32
+,10,595673,13208497,0,1,2,3,0.031,32
+,10,595673,13208496,0,1,2,3,0.049,32
+,10,595673,671623,1,1,2,2,0.024,32
